run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K15_sw3_lam2.0,15,3,2.0,10,model.input_blocks.8,54,146,0.27,7.7198425,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,11,model.input_blocks.9,54,146,0.27,7.76679137,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,12,model.middle_block,54,146,0.27,7.7086433,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,13,model.output_blocks.0,54,146,0.27,8.13537171,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,14,model.output_blocks.1,54,146,0.27,7.72818771,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,15,model.output_blocks.10,54,146,0.27,7.9394269,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,16,model.output_blocks.11,54,146,0.27,8.34649902,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,17,model.output_blocks.2,54,146,0.27,7.6271217,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,18,model.output_blocks.3,54,146,0.27,7.6271217,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,19,model.output_blocks.4,54,146,0.27,7.73076551,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,20,model.output_blocks.5,54,146,0.27,7.82737567,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,21,model.output_blocks.6,54,146,0.27,7.65155441,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,22,model.output_blocks.7,54,146,0.27,7.89184721,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,23,model.output_blocks.8,54,146,0.27,7.6812754,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam2.0,15,3,2.0,24,model.output_blocks.9,54,146,0.27,7.9517963,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,0,model.input_blocks.0,55,145,0.275,1.21638462,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,1,model.input_blocks.1,55,145,0.275,1.21638462,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
